Partner,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
French Polynesia,78911895,91477371,93082084,111838384,108158633,124414483,130331165,112758869,121590707,126618809,129855209,126189637,129553300,120041979,100121875
French Southern Territories,722692,336364,3308991,273678,129968,392357,4238293,963568,588625,1425658,1239070,1749592,8251616,8026602,4912096
Gabon,65515209,62995871,93045802,99105857,135294305,477645795,283989863,170755956,242998852,205151050,319048462,307983525,417347288,203872443,85017523
Gambia,9553128,26651360,23057741,30604418,21202373,20000988,28878320,33648113,29253787,29366112,27458509,34135359,41538614,37447980,40003766
Gaza Strip,18069,18400,28754,231120,266920,4634860,61183,22823,1830513,47297,105165,178138,169040,183934,169843
Georgia,98842965,131035280,227053529,213886826,263531198,364236656,586464121,363773252,300877770,580009236,541253019,601244307,627551843,340502111,324485852
Germany,26629618780,28831866553,31415881557,34183656274,41159115809,49419703142,54505255730,43306258441,48155263220,49294189419,48802968878,47363465586,49418841185,49945289522,49363423718
Ghana,192563198,209232186,309647595,337389713,289476368,416384899,608412179,715935461,989339154,1199086566,1322494666,981388029,1186287465,949974971,831997825
Gibraltar,25741728,14036146,137890900,163257568,286191706,593945617,2640683545,1086961229,1494144556,3148591117,5109058460,3576397600,2530894164,1979387908,1683639284
Greece,1151786088,2506478796,2063225674,1192248494,1554720496,2110206007,1931570736,2487064064,1106453110,1130969963,804136728,739038829,773336519,725598644,746602727
Greenland,4010024,2998415,3599703,5085009,2972467,4418684,34892248,7072819,8577516,7302165,15856790,19148034,12692465,8076839,4049956
Grenada,56405642,68420456,70103374,82440305,74178148,83264328,84437130,59211758,71243438,81834405,72112543,95251167,84018256,90473526,86802125
Guadeloupe,39680134,45650980,38206885,54512655,64986251,139085169,383935772,205820935,364529841,430951509,502522818,642437801,426604654,100959536,145828364
Guatemala,2044432021,2263394847,2551304685,2835380390,3511420817,4065051130,4718262816,3874527192,4476851241,6151169676,5748945279,5554588951,6045632737,5821129621,5840921757
Guinea,62937385,35817201,58845384,93597060,64750375,73531245,101802826,94793067,85061952,256160269,154622237,79462980,65185635,135284129,84190133
Guinea Bissau,2558586,1238467,1229200,2100355,5708642,6615356,2076775,1511184,3401580,11838657,21095196,6643733,2904280,2135320,3549712
Guyana,128207562,117148190,138411218,176704601,179440313,187879827,288518675,260367286,290703439,363441299,359571070,318863043,369986060,368134263,444672887
Haiti,573184565,639440583,672978156,709620597,817367312,680188060,943991127,790406627,1208576616,1058948781,1050229529,1227113799,1273739041,1140569428,1090775088
Heard Island and Mcdonald Islands,76069,405615,185212,160607,595097,1721670,308427,7113037,3654960,365259,499782,504268,1180334,913419,297004
Honduras,2571077176,2826242842,3078422244,3253813808,3687064970,4461359257,4846217272,3367600743,4606443933,6166370382,5714670349,5420255599,5961469116,5216039910,4829972476
Hong Kong,12594354646,13520462412,15827350453,16351028611,17742174911,19901654480,21498619389,21050525179,26570450803,36398784628,37471809096,42332232943,40913401409,37183102135,34894737300
Hungary,687860906,933262944,1142562781,1023258213,1187640766,1291867910,1430952895,1232876763,1290393339,1479338284,1566156776,1726956134,1843893619,1715290868,1844433021
Iceland,218992513,242082040,308551167,512019513,365791294,629632708,469500222,349502029,324882989,628054455,370820354,513396894,374921407,415457850,447729960
India,4101054638,4979693120,6109357025,7918602428,9673570797,14968845536,17682084740,16441395486,19248886968,21542184381,22105737858,21810447551,21499085305,21452973933,21652276958
Indonesia,2555831834,2516378492,2671411750,3053913961,3078476384,3969656878,5644478295,5106983972,6947852910,7421405814,7997976489,9106545145,8281008846,7117712331,6023675683
Iran,31811319,98922677,85119337,95773068,85865218,144697312,683175698,280371712,211398345,233183160,251122746,308142294,186701987,281916260,171950515
Iraq,31607458,309895407,856451848,1373986265,1490615192,1560201195,2069789108,1772408085,1643064073,2400364843,2053842278,2003374954,2105888234,1970509243,1266380958
Ireland,6745130852,7695662657,7551619955,8446771993,7621461208,7776969775,7610825492,7465002762,7275841853,7657624847,7392737072,6632235721,7807755566,8931379660,9565388909
Israel,7026655635,6892051704,9169053561,9737340849,10964817506,12887477039,14486863157,9559356487,11295020595,13961616095,14273498432,13743691038,15072955424,13539184428,13196577985
Italy,10056776121,10560572144,10684739525,11524325287,12546042512,14149624058,15460835761,12268011950,14219893087,16037489503,16097123281,16757095740,16968945258,16212366161,16707347272
Jamaica,1420186762,1469544613,1430779783,1700769277,2035665603,2315958604,2643366812,1440576002,1661396570,1934143237,1989288661,1979623696,2180230756,1716060897,1650157354
Japan,51449297862,52004277225,53568693666,54680579847,58458978071,61159582766,65141753124,51134184201,60471852133,65799736713,69975786856,65237414094,66891842650,62393096196,63236273767
Jordan,404437789,492444030,551541476,644195347,650333336,856173325,940321131,1191811231,1172174641,1449688144,1766366354,2085026459,2050123121,1359598985,1458918428
Kazakhstan,604647138,168241541,320398908,538286932,646175651,752764327,985519036,603491712,730293302,827138922,883647324,1150177842,1007956900,510470768,1111364404
